id_origin,EAN,Compte_fournisseur,Code_Stock_PIV,Brand_to_integrate,Marque,Designation,DET_FdP,ID_de_DUPLI_FdP,DECOMPO,Statut_fiscal,Presence_CRD_sur_les_bouteilles,Nomenclature_Douaniere,Area,Appellation,Categorie_Alcool,Degree_of_alcohol,Color,Capacity_volume,Vintage_year
1,3225820068529,SCT12866,STO183165,BESTHEIM,BESTHEIM,BESTHEIM Le Blanc bec,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.831,Alsace_Lorraine,Alsace,Vin avec appellation d'origine protégée FR (AOP),1250,Blanc,75,2019
2,3225820069908,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT CŒUR DE LUNE,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Alsace,Vin avec appellation d'origine protégée FR (AOP),1250,Blanc ,75,NM 
3,3225820068963,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT GRAND PRESTIGE ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1200,Blanc ,75,2018
4,3225820068987,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT GRAND PRESTIGE ROSE ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1250,Rosé ,75,2020
5,3225820058582,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT HERITAGE AB,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1200,Blanc,75,NM 
6,3225820068888,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT PREMIUM ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1200,Blanc ,75,NM 
7,3225820068901,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT BRUT ROSE ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1250,Rosé ,75,NM 
8,3225820068949,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT DEMI SEC ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1150,Blanc ,75,NM 
9,3225820068925,SCT12866,STO183165,BESTHEIM,BESTHEIM,CREMANT EXTRA BRUT ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.410.932,Alsace_Lorraine,Crémant 'Alsace,Vin mousseux avec appellation 'origine protégée FR,1200,Blanc ,75,NM 
10,3225820069106,SCT12866,STO183165,BESTHEIM,BESTHEIM,GEWURZTRAMINER DES CHASSEURS DE LUNE ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.112,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1350,Blanc ,75,2020
11,3225820069342,SCT12866,STO183165,BESTHEIM,BESTHEIM,GEWURZTRAMINER GRAND CRU MAMBOURG,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.118,Alsace_Lorraine,Alsace grand cru Mambourg,Vin avec appellation 'origine protégée FR (AOP),1350,Blanc,75,2019
12,3225820065665,SCT12866,STO183165,BESTHEIM,BESTHEIM,Gewurztraminer Séléction de Grains Nobles,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.116,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1200,Blanc,50,2017
13,3225820069526,SCT12866,STO183165,BESTHEIM,BESTHEIM,GEWURZTRAMINER VENDANGES TARDIVES ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.116,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1250,Blanc ,75,2018
14,3225820069083,SCT12866,STO183165,BESTHEIM,BESTHEIM,PINOT GRIS DES CHASSEURS DE LUNE ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.115,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1400,Blanc,75,2020
15,3225820069304,SCT12866,STO183165,BESTHEIM,BESTHEIM,PINOT GRIS GRAND CRU MAMBOURG ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.118,Alsace_Lorraine,Alsace grand cru Mambourg,Vin avec appellation 'origine protégée FR (AOP),1350,Blanc ,75,2017
16,3225820069120,SCT12866,STO183165,BESTHEIM,BESTHEIM,PINOT NOIR DES CHASSEURS DE LUNE HVE,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.783,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1300,Rouge ,75,2021
17,3225820069403,SCT12866,STO183165,BESTHEIM,BESTHEIM,PINOT NOIR L'IMPATIENT ,BEV_DET,_det2,Reprise,Acquitté,Oui,220.421.783,Alsace_Lorraine,Alsace,Vin avec appellation 'origine protégée FR (AOP),1400,Rouge ,75,2018
