,competitor_name,country,product_views,product_name_competitor,category_path,brand,list_price_competitor,promo_price_competitor,currency,discount_savings,stock_information,rating,reviews,seller_name,product_description,store_location,match,products_sold,transaction,avg_quality_rating_and_review,avg_accuracy_rating_and_review,total_transaction,list_price_lazada,promo_price_lazada,score,input,error,url_origin
0,Apple SG,Singapore,,Belkin iPhone Mount with MagSafe for Mac Notebooks,Home>Accessories,Apple,44.4,,SGD,,in stock,,,Apple,The Belkin iPhone Mount with MagSafe for Mac notebooks attaches for camera streaming and more. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Nokia 105 DS Pro 4G', 'product_name_en': 'Nokia 105 DS Pro 4G', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
1,Apple SG,Singapore,,OtterBox Lumen Series Case with MagSafe for iPhone 15 Plus - Green,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,The OtterBox Lumen Series Case with MagSafe adds color and keeps your iPhone 14 Pro Max safe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 15 Plus - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 15 Plus - Hàng Chính Hãng VN/A', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
2,Apple SG,Singapore,,iPhone 15 Plus Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Plus great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh POCO X6 Pro 5G', 'product_name_en': 'Điện thoại thông minh POCO X6 Pro 5G', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
3,Apple SG,Singapore,,iPhone FineWoven Wallet with MagSafe - Evergreen,Home>Accessories,Apple,89.8,,SGD,,in stock,,,Apple,Keep your ID and credit cards close with a green FineWoven Wallet with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh POCO X6 Pro 5G', 'product_name_en': 'Điện thoại thông minh POCO X6 Pro 5G', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
4,Apple SG,Singapore,,Apple 85W MagSafe Power Adapter (for 15- and 17-inch MacBook Pro),Home>Accessories,Apple,100.8,,SGD,,in stock,,,Apple,Apple 85W MagSafe Power Adapter lets you plug in and charge your 13- or 15-inch MacBook Pro.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'product_name_en': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
5,Apple SG,Singapore,,iPhone FineWoven Wallet with MagSafe - Evergreen,Home>Accessories,Apple,89.8,,SGD,,in stock,,,Apple,Keep your ID and credit cards close with a green FineWoven Wallet with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'product_name_en': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
6,Apple SG,Singapore,,OtterBox Lumen Series Passport Case for iPhone 15 Pro Max - London,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,The fastest way to jet from Paris to New York to Tokyo is with the Lumen Series Passport iPhone case. Buy online now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'product_name_en': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
7,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Pink,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the pink Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 15 Pro - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 15 Pro - Hàng Chính Hãng VN/A', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
8,Apple SG,Singapore,,iPhone 15 Pro Silicone Case with MagSafe - Pink,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro great protection and a faster wireless charge with the pink Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh POCO X6 Pro 5G', 'product_name_en': 'Điện thoại thông minh POCO X6 Pro 5G', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
9,Apple SG,Singapore,,iPhone 15 Plus Silicone Case with MagSafe - Sunshine,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Plus great protection and a faster wireless charge with the yellow Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 15 Pro - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 15 Pro - Hàng Chính Hãng VN/A', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
