,similitud,nombre_origin,link_origin,nombre_alternative,link_alternative
0,50,PRIMER SKIN FIT ME - Instant Primer Skin Photo Ready Z Series,//www.lazada.co.id/products/primer-skin-fit-me-instant-primer-skin-photo-ready-z-series-i8076688560.html,PRIMER MAYBELLINE FIT ME CONTROL OIL / SHINE - Primer Fit Me!..,https://shopee.co.id/PRIMER-MAYBELLINE-FIT-ME-CONTROL-OIL-SHINE-Primer-Fit-Me!..-i.286618453.17294576482
1,50,PRIMER SKIN FIT ME - Instant Primer Skin Photo Ready Z Series,//www.lazada.co.id/products/primer-skin-fit-me-instant-primer-skin-photo-ready-z-series-i8076688560.html,PRIMER MAYBELLINE FIT ME CONTROL OIL / SHINE - Primer Fit Me!..,https://shopee.co.id/PRIMER-MAYBELLINE-FIT-ME-CONTROL-OIL-SHINE-Primer-Fit-Me!..-i.286618453.17294576482
2,50,PERFECT PRIMER FIT ME - Primer Mineral Oil Face Primer Paraben free Alas Make Up wajah,//www.lazada.co.id/products/perfect-primer-fit-me-primer-mineral-oil-face-primer-paraben-free-alas-make-up-wajah-i8076680576.html,❤ BELIA ❤ MAYBELLINE Fit Me Matte + Poreless SPF20 Primer | Normal to Oily | Primer | Make Up Base | Alas Make Up | BPOM,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-MAYBELLINE-Fit-Me-Matte-Poreless-SPF20-Primer-Normal-to-Oily-Primer-Make-Up-Base-Alas-Make-Up-BPOM-i.48382819.13247717067
3,50,PERFECT PRIMER FIT ME - Primer Mineral Oil Face Primer Paraben free Alas Make Up wajah,//www.lazada.co.id/products/perfect-primer-fit-me-primer-mineral-oil-face-primer-paraben-free-alas-make-up-wajah-i8076680576.html,❤ BELIA ❤ MAYBELLINE Fit Me Matte + Poreless SPF20 Primer | Normal to Oily | Primer | Make Up Base | Alas Make Up | BPOM,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-MAYBELLINE-Fit-Me-Matte-Poreless-SPF20-Primer-Normal-to-Oily-Primer-Make-Up-Base-Alas-Make-Up-BPOM-i.48382819.13247717067
4,54,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,Dermacol MAKE UP COVER SPF 30 WATERPROOF COVERAGE / FOUNDATION,https://shopee.co.id/Dermacol-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-FOUNDATION-i.878378674.19790125529
5,54,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,Dermacol MAKE UP COVER SPF 30 WATERPROOF COVERAGE / FOUNDATION,https://shopee.co.id/Dermacol-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-FOUNDATION-i.878378674.19790125529
6,50,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER SPF 30 WATERPROOF / COVERAGE MAKEUP FOUNDATION BASE,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-MAKEUP-FOUNDATION-BASE-i.316101177.11535679928
7,52,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER SPF 30 WATERPROOF / COVERAGE MAKEUP FOUNDATION,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-MAKEUP-FOUNDATION-i.878358437.21590213304
8,52,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER SPF 30 WATERPROOF / COVERAGE MAKEUP FOUNDATION,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-MAKEUP-FOUNDATION-i.878358437.21590213304
9,52,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER SPF 30 WATERPROOF / COVERAGE MAKEUP FOUNDATION,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-MAKEUP-FOUNDATION-i.569625267.21448165418
10,52,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER SPF 30 WATERPROOF / COVERAGE MAKEUP FOUNDATION,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-MAKEUP-FOUNDATION-i.569625267.21448165418
11,55,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,READY [30gr] DERMACOL MAKE UP COVER SPF 30 WATERPROOF COVERAGE / FOUNDATION !!,https://shopee.co.id/READY-30gr-DERMACOL-MAKE-UP-COVER-SPF-30-WATERPROOF-COVERAGE-FOUNDATION-!!-i.50419623.10824996542
12,57,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER WATERPROOF FOUNDATION SPF 30 !!!!,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-WATERPROOF-FOUNDATION-SPF-30-!!!!-i.242347189.25501580965
13,57,READY- YESSICA’S WATERPROOF FOUNDATION,//www.lazada.co.id/products/ready-yessicas-waterproof-foundation-i8072782777.html,DERMACOL MAKE UP COVER WATERPROOF FOUNDATION SPF 30 !!!!,https://shopee.co.id/DERMACOL-MAKE-UP-COVER-WATERPROOF-FOUNDATION-SPF-30-!!!!-i.242347189.25501580965
14,78,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,[Share In Jar] LT PRO Aquaboost Primer Moisturizer,https://shopee.co.id/-Share-In-Jar-LT-PRO-Aquaboost-Primer-Moisturizer-i.439249392.23460163533
15,78,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,Azakayra Cosmetic - LT Pro Aquaboost Primer Moisturizer,https://shopee.co.id/Azakayra-Cosmetic-LT-Pro-Aquaboost-Primer-Moisturizer-i.17931861.25650465813
16,78,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,Azakayra Cosmetic - LT Pro Aquaboost Primer Moisturizer,https://shopee.co.id/Azakayra-Cosmetic-LT-Pro-Aquaboost-Primer-Moisturizer-i.17931861.25650465813
17,53,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,(Share in Jar) LT PRO Aquaboost Primer Moisturizer and Protects Natural Glow Finish SPF 16,https://shopee.co.id/(Share-in-Jar)-LT-PRO-Aquaboost-Primer-Moisturizer-and-Protects-Natural-Glow-Finish-SPF-16-i.17485714.20171506779
18,63,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,❣️Rejeki.Shop❣️LT PRO Aquaboost Primer SPF 16 | Moisturizer | Primers,https://shopee.co.id/%E2%9D%A3%EF%B8%8FRejeki.Shop%E2%9D%A3%EF%B8%8FLT-PRO-Aquaboost-Primer-SPF-16-Moisturizer-Primers-i.22108721.19571794046
19,63,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,❣️Rejeki.Shop❣️LT PRO Aquaboost Primer SPF 16 | Moisturizer | Primers,https://shopee.co.id/%E2%9D%A3%EF%B8%8FRejeki.Shop%E2%9D%A3%EF%B8%8FLT-PRO-Aquaboost-Primer-SPF-16-Moisturizer-Primers-i.22108721.19571794046
20,56,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,[Share In Jar] LT PRO Aquaboost Primer Moisturizer And Protects Natural Glow Finish,https://shopee.co.id/-Share-In-Jar-LT-PRO-Aquaboost-Primer-Moisturizer-And-Protects-Natural-Glow-Finish-i.209567633.23073749783
21,78,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,LT PRO Aquaboost Primer Moisturizer [SHARE IN JAR],https://shopee.co.id/LT-PRO-Aquaboost-Primer-Moisturizer-SHARE-IN-JAR--i.202900544.23853661143
22,73,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,Aquaboost Primer Moisturizer SPF 16 LT Pro,https://shopee.co.id/Aquaboost-Primer-Moisturizer-SPF-16-LT-Pro-i.73773412.8999671237
23,73,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,Aquaboost Primer Moisturizer SPF 16 LT Pro,https://shopee.co.id/Aquaboost-Primer-Moisturizer-SPF-16-LT-Pro-i.73773412.8999671237
24,50,LT Pro Aquaboost Primer Moisturizer,//www.lazada.co.id/products/lt-pro-aquaboost-primer-moisturizer-i8071820504.html,(SHARE IN JAR) LT PRO Aquaboost Primer Moisturizer Primes and Protects Natural Glow Finish Spf16,https://shopee.co.id/(SHARE-IN-JAR)-LT-PRO-Aquaboost-Primer-Moisturizer-Primes-and-Protects-Natural-Glow-Finish-Spf16-i.42219256.21209029354
25,78,COD)YZS Gold Tube foundation concealer Waterproof / durable / moisturizing / oil-control matte,//www.lazada.co.id/products/codyzs-gold-tube-foundation-concealer-waterproof-durable-moisturizing-oil-control-matte-i8071436204.html,(COD)YZS Gold Tube foundation concealer Waterproof / durable / moisturizing / oil-control matte concealer covers all blemishes on the face terbaru,https://shopee.co.id/(COD)YZS-Gold-Tube-foundation-concealer-Waterproof-durable-moisturizing-oil-control-matte-concealer-covers-all-blemishes-on-the-face-terbaru-i.280755579.18682660515
26,76,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Promo- Ultima Ii Clear White 2 Way Foundation 10G Ready Stok,https://shopee.co.id/Promo-Ultima-Ii-Clear-White-2-Way-Foundation-10G-Ready-Stok-i.9301179.1752212679
27,76,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Promo- Ultima Ii Clear White 2 Way Foundation 10G Ready Stok,https://shopee.co.id/Promo-Ultima-Ii-Clear-White-2-Way-Foundation-10G-Ready-Stok-i.9301179.1752212679
28,66,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Promo Awal tahun Ultima II Clear White 2 Way Foundation refil 10g Promo Awal tahun,https://shopee.co.id/Promo-Awal-tahun-Ultima-II-Clear-White-2-Way-Foundation-refil-10g-Promo-Awal-tahun-i.154408985.7267643072
29,66,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Promo Awal tahun Ultima II Clear White 2 Way Foundation refil 10g Promo Awal tahun,https://shopee.co.id/Promo-Awal-tahun-Ultima-II-Clear-White-2-Way-Foundation-refil-10g-Promo-Awal-tahun-i.154408985.7267643072
30,70,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,E4Wr434T- Ultima Ii Clear White 2 Way Foundation Refil 10G 9Ui7Iy8Yy-,https://shopee.co.id/E4Wr434T-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-9Ui7Iy8Yy--i.327956213.7861273507
31,70,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,E4Wr434T- Ultima Ii Clear White 2 Way Foundation Refil 10G 9Ui7Iy8Yy-,https://shopee.co.id/E4Wr434T-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-9Ui7Iy8Yy--i.327956213.7861273507
32,52,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Dermacol Make Up Cover Waterproof Foundation spf 30,https://shopee.co.id/Dermacol-Make-Up-Cover-Waterproof-Foundation-spf-30-i.348983100.23214766654
33,52,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Dermacol Make Up Cover Waterproof Foundation spf 30,https://shopee.co.id/Dermacol-Make-Up-Cover-Waterproof-Foundation-spf-30-i.348983100.23214766654
34,70,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Best Seller- Ultima Ii Clear White 2 Way Foundation Refil 10G Termurah,https://shopee.co.id/Best-Seller-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-Termurah-i.9301179.1752206549
35,70,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Best Seller- Ultima Ii Clear White 2 Way Foundation Refil 10G Termurah,https://shopee.co.id/Best-Seller-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-Termurah-i.9301179.1752206549
36,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Diskon Ultima II Clear White 2 Way Foundation 10g Cuci Gudang Awal Tahun,https://shopee.co.id/Diskon-Ultima-II-Clear-White-2-Way-Foundation-10g-Cuci-Gudang-Awal-Tahun-i.154408985.4267665772
37,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Diskon Ultima II Clear White 2 Way Foundation 10g Cuci Gudang Awal Tahun,https://shopee.co.id/Diskon-Ultima-II-Clear-White-2-Way-Foundation-10g-Cuci-Gudang-Awal-Tahun-i.154408985.4267665772
38,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Prim87Sm Ultima Ii Clear White 2 Way Foundation Refil 10G Makpri50,https://shopee.co.id/Prim87Sm-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-Makpri50-i.338382617.4464170459
39,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Prim87Sm Ultima Ii Clear White 2 Way Foundation Refil 10G Makpri50,https://shopee.co.id/Prim87Sm-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-Makpri50-i.338382617.4464170459
40,76,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,[COD] [PROMO] Ultima II Clear White 2-Way Foundation Refil 10g [COD],https://shopee.co.id/-COD-PROMO-Ultima-II-Clear-White-2-Way-Foundation-Refil-10g-COD--i.179058186.16836910601
41,76,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,[COD] [PROMO] Ultima II Clear White 2-Way Foundation Refil 10g [COD],https://shopee.co.id/-COD-PROMO-Ultima-II-Clear-White-2-Way-Foundation-Refil-10g-COD--i.179058186.16836910601
42,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Sangat Nyaman...!112XG  Ultima II Clear White 2 Way Foundation refil 10g,https://shopee.co.id/Sangat-Nyaman...!112XG-Ultima-II-Clear-White-2-Way-Foundation-refil-10g-i.125589545.6877711702
43,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Sangat Nyaman...!112XG  Ultima II Clear White 2 Way Foundation refil 10g,https://shopee.co.id/Sangat-Nyaman...!112XG-Ultima-II-Clear-White-2-Way-Foundation-refil-10g-i.125589545.6877711702
44,72,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,Ready Stock Ultima Ii Clear White 2 Way Foundation Refil 10G Promo,https://shopee.co.id/Ready-Stock-Ultima-Ii-Clear-White-2-Way-Foundation-Refil-10G-Promo-i.403542871.14541860926
45,62,Ultima II Clear White 2-Way Foundation 10g,//www.lazada.co.id/products/ultima-ii-clear-white-2-way-foundation-10g-i8040122205.html,(( BISA COD )) Ultima II Clear White 2 Way Foundation 10g - Buff ( TERBARU DAN TERLENGKAP ),https://shopee.co.id/((-BISA-COD-))-Ultima-II-Clear-White-2-Way-Foundation-10g-Buff-(-TERBARU-DAN-TERLENGKAP-)-i.210993777.12063065430
46,66,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-i.119147007.1830764874
47,76,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion SPF 23,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-SPF-23-i.3298864.1804283789
48,59,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-i.920406.5348095697
49,56,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion REFILL Bedak Isi Ulang SPF 23,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-REFILL-Bedak-Isi-Ulang-SPF-23-i.2835857.23327100669
50,57,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion Refill | Bedak,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-Refill-Bedak-i.6692888.22636145614
51,63,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion Refill,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-Refill-i.207124273.3933908943
52,54,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,☘️ CHAROZA ☘️ PIXY Make It Glow Dewi Cushion Full / Refill,https://shopee.co.id/%E2%98%98%EF%B8%8F-CHAROZA-%E2%98%98%EF%B8%8F-PIXY-Make-It-Glow-Dewi-Cushion-Full-Refill-i.1644944.2379379682
53,66,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-i.624269773.18483502969
54,59,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion 201 Neutral Beige,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-201-Neutral-Beige-i.168693892.2649121374
55,59,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion 201 Neutral Beige,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-201-Neutral-Beige-i.168693892.2649121374
56,50,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,The Originote High Cover Serum Cushion (SPF 35 PA++),https://shopee.co.id/The-Originote-High-Cover-Serum-Cushion-(SPF-35-PA-)-i.29776445.25012310693
57,61,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy (R) Cushion Refill,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-(R)-Cushion-Refill-i.308034982.4256968869
58,66,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-i.140789817.2149707656
59,57,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make it Glow Dewy Cushion,https://shopee.co.id/PIXY-Make-it-Glow-Dewy-Cushion-i.39943822.1835339939
60,54,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion SPF 23 PA++ / Techno Fixed Matte Cushion - Cushion Pixy Halal Original BPOM,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-SPF-23-PA-Techno-Fixed-Matte-Cushion-Cushion-Pixy-Halal-Original-BPOM-i.35017261.12534909566
61,59,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Refill PIXY Make It Glow Dewy Cushion,https://shopee.co.id/Refill-PIXY-Make-It-Glow-Dewy-Cushion-i.34547959.1799786527
62,55,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion 101 Light Beige - Refill,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-101-Light-Beige-Refill-i.168693892.2649113038
63,55,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion 101 Light Beige - Refill,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-101-Light-Beige-Refill-i.168693892.2649113038
64,66,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy Cushion,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-Cushion-i.56660357.1776027575
65,59,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-i.4136075.1862195001
66,51,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy TECHNO Make It Glow Fixed Matte Cushion,https://shopee.co.id/Pixy-TECHNO-Make-It-Glow-Fixed-Matte-Cushion-i.134373360.12974182091
67,64,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,Pixy Make It Glow Dewy cushion,https://shopee.co.id/Pixy-Make-It-Glow-Dewy-cushion-i.243482841.7834455956
68,63,Bedak Basah Pixy Make It Glow Dewy Cushion SPF 23 & PA++  15g,//www.lazada.co.id/products/bedak-basah-pixy-make-it-glow-dewy-cushion-spf-23-pa-15g-i8039636822.html,PIXY Make It Glow Dewy Cushion Refill 15g,https://shopee.co.id/PIXY-Make-It-Glow-Dewy-Cushion-Refill-15g-i.2836441.1505325410
